2|1061269|1065576|1071700|1074459|1074133
1|595327|593535|593856|593990|592937
5|1108403|1099497|1106712|1111890|1115598
20|86171|86197|85573|85922|85442
30|330538|329290|329637|330522|329279
3|941645|944096|947751|949411|949443
1001|1467|1440|1503|1550|1541
3001|340|340|352|359|364
4001|605|606|608|619|617
7001|231|229|230|241|260
8001|563|590|601|620|594
2001|1754|1733|1747|1778|1728
6001|611|621|629|642|627
40|362564|363110|363830|365466|365036
6|720653|713019|713370|714497|711856
8|796294|797840|799246|801098|797426
10001|227|228|228|239|245
5001|228|228|233|239|242
7|612264|613619|614388|616702|614739
1004|2114|2039|2054|2050|2042
24|7099|7407|7623|7850|8032
34|579008|579278|580842|583807|580526
22|6643|6836|6986|7176|7394
35|565280|559156|561660|564358|563965
2002|4241|4245|4272|4258|4258
21|8952|7771|7794|7864|7873
23|9604|9676|9796|9921|10017
25|7419|7616|7790|8024|8114
31|847415|847583|849673|852815|854032
80|5246|5252|5192|5312|5184
8002|431|428|444|431|438
33|843033|843465|845141|847805|849440
81|7457|7414|7390|7276|7217
1102|19555|19199|19194|19189|19111
4|531854|533484|535759|538099|541032
32|557994|556943|558729|561270|561500
9000|293|293|293|293|269
6101|235|234|234|243|243
6201|101|100|100|100|100
6601|30|29|28|27|26
5102|1291|1282|1284|1282|1287
6301|65|65|65|65|65
9001|339|338|339|339|344
10002|545|540|543|540|544
4102|2288|2267|2266|2266|2260
5002|162|159|158|158|154
3002|193|192|193|191|197
4002|340|339|339|339|340
7002|268|250|251|249|244
7102|1092|1025|1025|1023|1056
2003|9130|8959|8986|8993|8988
8102|3607|3619|3619|3675|3319
1008|9073|9037|8992|8942|8912
3102|931|928|928|926|925
1104|68618|68481|68399|68450|68236
6501|21|21|21|21|21
8103|9739|9756|9845|9837|9426
2302|4089|4066|4049|4033|3921
5003|187|187|187|187|186
7103|1974|1967|1964|1971|1970
4003|449|442|439|436|421
8003|1851|1889|1901|1885|1851
2301|1301|1301|1301|1301|1301
6203|517|503|501|501|501
1006|6209|6228|6210|6184|6221
1103|39117|38800|38789|38751|38642
4103|4474|4433|4423|4419|4412
5103|1520|1519|1521|1518|1521
6102|256|256|256|256|256
6202|34|34|34|34|34
6401|11|11|11|10|10
84|3626|3686|3686|3746|3806
9002|345|344|344|343|343
3003|122|122|122|121|122
7003|267|268|267|267|267
10003|556|554|554|552|554
82|9241|8662|8662|8662|8662
2102|1598|1591|1585|1585|1585
2202|1183|1177|1177|1177|1188
6103|817|798|797|796|796
6303|1037|1045|1059|1065|1068
9003|137|137|137|137|137
3103|992|985|984|983|982
6503|83|79|79|79|81
2101|646|642|642|642|642
6302|114|111|111|111|111
6502|16|16|16|16|16
6602|40|40|40|40|40
6603|764|763|762|761|760
9004|2559|2520|2519|159|159
2303|22283|22342|22384|22435|22347
3104|1745|1713|1711|1711|1711
4004|1434|1422|1422|1419|1435
4104|2880|2875|2906|2907|2902
7104|1081|1047|1046|1045|1045
8004|4531|4512|4508|4546|4595
8104|39102|38934|39068|39147|38695
10004|1420|1392|1390|1386|1384
83|84199|81621|81752|81989|81916
85|46103|46223|46253|46349|46136
7004|203|200|201|199|200
2103|14023|13758|13722|13719|13767
5004|304|303|302|300|300
5104|3202|3192|3193|3204|3223
6402|6|6|6|6|6
2203|9792|9769|9712|9709|9707
6204|921|921|918|918|918
6403|763|763|763|761|761
6104|1864|1865|1870|1868|1883
11002|345|348|349|347|349
6304|612|612|613|613|613
6504|241|241|243|238|239
6604|549|550|550|552|550
9007|240|239|239|239|241
3004|219|214|215|213|214
6404|260|256|252|252|252
11001|3159|3143|3138|3142|3148
2201|679|681|681|681|626
87|1650|1650|1650|1650|1650
9008|1297|1271|1271|1270|1269
9005|130|130|130|130|130
10|1105|1103|1102|1104|1068
